Nom_Produit,Marque,Categorie,Energie_kJ,Sucres_g,Graisses_Sat_g,Sel_g,Proteines_g,Fibres_g,Fruits_Legumes_Pct,NutriScore_Score,NutriScore_Lettre,Points_N,Points_P,GreenScore_Lettre,GreenScore_Score,ELECTRE_Pess_0.6,ELECTRE_Opt_0.6,ELECTRE_Pess_0.7,ELECTRE_Opt_0.7,RF_Pred
Tagliatelles au Poulet  ChampignonsCrème,"WW,Weight Watchers",ready-meals,427.0,1.0,0.9,0.88,7.67,0.9,17.2,2,B,5,3,E,26,C,C,C,B,B
Frozen Baked Jacket Potatoes,McCain,ready-meals,334.0,1.9,0.1,0.005,2.15,1.95,0.0,0,A,0,0,D,44,B,B,B,B,B
Aiguillettes de poulet au miel et aux épices semoule,Picard,ready-meals,517.0,4.9,0.3,0.35,8.4,4.7,0.0,-2,A,3,5,D,35,C,C,C,B,B
La Paëlla Valenciana poulet rôti chorizo et fruits de mer,Fleury Michon,ready-meals,765.0,0.7,1.6,0.71,11.0,1.2,0.0,2,B,6,4,D,32,C,C,C,C,B
Quinoa poulet et sésame,"Jardin bio, Léa Nature",ready-meals,731.0,3.0,1.2,0.7,6.9,6.5,0.0,0,A,6,6,C,48,C,C,C,C,B
Escalope Milanaise Dinde 100 filet,Marie,ready-meals,670.0,2.6,0.9,0.65,7.9,1.2,16.4,2,B,5,3,D,34,C,C,C,B,
Nouilles japonaises saveur boeuf teppanyaki,Tanoshi,ready-meals,337.0,0.6,0.4,0.85,1.9,0.6,0.0,5,C,5,0,C,51,C,C,D,B,B
Pastabox Carbonara,Sodebo,ready-meals,695.0,1.9,3.7,0.66,7.1,1.2,0.0,6,C,8,2,C,54,C,C,C,C,B
Poulet  Purée de Courgettes pointe de crème fraîche,Fleury Michon,ready-meals,463.0,2.7,2.4,0.67,5.7,1.4,0.0,4,C,6,2,E,28,C,C,C,C,B
Quinotto Légumes verts Parmesan,Jardin bio,ready-meals,553.0,2.5,1.4,0.7,7.6,3.1,0.0,1,B,5,4,D,43,C,C,C,B,B
Lasagnes à la bolognaise,Marie,ready-meals,570.0,3.3,2.6,0.67,7.5,1.0,11.176,3,C,6,3,D,40,C,C,C,C,B
Poulet et petites pâtes sauce aux champignons,Picard,ready-meals,546.0,1.0,2.1,0.59,7.8,1.1,0.0,2,B,5,3,D,42,C,C,C,C,B
Poêlée de gnocchis tomates mozzarella,Picard,ready-meals,671.0,8.4,1.4,0.6,5.2,2.7,0.0,4,C,6,2,A,86,C,C,C,B,C
Le Kebab de Poulet et sa Semoule à lOrientale,Fleury Michon,ready-meals,717.0,2.6,1.3,0.73,7.3,0.8,0.0,3,C,6,3,E,28,C,C,C,C,B
Lasagnes saumon epinard,Picard,ready-meals,427.0,1.7,1.9,0.7,6.3,1.5,0.0,3,C,5,2,C,46,C,C,C,C,B
Émincés de poulet conchiglie complètes et légumes à litalienne,Picard,ready-meals,413.0,2.7,0.7,0.32,7.9,3.1,0.0,-2,A,2,4,E,28,B,B,C,B,B
Fromage blanc nature,MILKY FOOD PROFESSIONAL,cheeses,337.0,0.0,0.0,0.0,7.3,0.0,0.0,-2,A,1,3,A,76,B,B,B,A,A
Jben,Jaouda,cheeses,984.0,0.0,15.0,0.46,8.0,0.0,0.0,14,D,14,0,D,44,C,C,D,C,E
Cheddar,la Hollandaise,cheeses,1130.0,6.0,12.0,1.5,9.0,0.0,0.0,21,E,21,0,D,38,D,D,D,D,E
Cream cheese,Original,cheeses,1061.0,0.0,0.0,0.0,10.0,0.0,0.0,-1,A,3,4,D,35,B,B,C,A,A
,Gervais,cheeses,573.0,7.2,4.8,0.5,7.0,0.0,0.0,6,C,8,2,B,71,C,C,C,C,D
Skyr nature 0,Yoplait,cheeses,238.0,3.6,0.065,0.1375,9.5,0.0,0.0,-2,A,1,3,A,81,B,B,B,A,
Jebli,"Centrale, Danone, Jebli",cheeses,941.0,0.0,13.0,0.76,6.5,0.0,0.0,15,D,15,0,D,42,C,C,D,C,E
Carré Frais,Elle & Vire,cheeses,356.0,2.9,0.2,1.2775,16.0,0.0,0.0,1,B,7,6,C,55,B,B,C,B,A
Philadelphia,Mondelez International,cheeses,933.0,4.3,14.0,0.75,5.4,0.2,0.0,16,D,16,0,D,43,D,D,D,C,E
Carré Frais  Nature,Elle&Vire,cheeses,802.0,2.5,11.0,1.2,12.0,0.0,0.0,17,D,17,0,C,57,C,C,D,C,E
Tranches Au Goût Cheddar,Ideal,cheeses,1176.0,0.0,10.0,3.25,8.0,0.0,0.0,29,E,29,0,D,31,D,D,D,C,E
,DANONE,cheeses,1026.0,5.5,10.0,1.0,8.0,0.0,0.0,19,E,19,0,C,49,C,C,D,C,E
Paysan Breton  Le Fromage Fouetté Madame Loïk  Nature au Sel de Guérande,"Le Fromage Fouetté Madame Loïk, Paysan breton",cheeses,1039.0,3.0,17.3,1.1,5.9,0.0,0.0,18,D,18,0,C,58,D,D,D,C,E
Kiri carré 8p,Kiri,cheeses,950.0,2.0,13.0,1.6,9.0,0.0,0.0,20,E,20,0,D,37,D,D,D,C,
Perly fromage,perly,cheeses,1096.0,0.0,15.2,1.6,10.0,0.0,0.0,21,E,21,0,D,35,D,D,D,C,E
St Môret,St Môret,cheeses,851.0,3.0,13.2,1.2,8.3,0.0,0.0,17,D,17,0,C,50,C,C,D,C,E
Coulommiers Doux et Crémeux,"CF&R,Cœur de Lion,Savencia",cheeses,1174.0,0.1,16.0,1.5,18.0,0.0,0.0,20,E,20,0,C,55,C,C,D,C,E
Le Goût Primeur format familial,"Savencia, St Moret",cheeses,851.0,3.0,13.2,1.2,8.3,0.0,0.0,17,D,17,0,C,50,C,C,D,C,E
Caprice des dieux,caprice des dieux,cheeses,1393.0,0.1,21.0,1.3775,15.0,0.0,0.0,20,E,20,0,C,57,D,D,D,C,E
PRESIDENT CAMEMBERT 250g,"Lactalis, Président",cheeses,1117.0,0.0,15.0,1.4,20.0,0.0,0.0,19,E,19,0,C,48,C,C,D,C,E
Kiri,Kiri,cheeses,950.0,1.88,13.1,1.62,8.75,0.0,0.0,20,E,20,0,E,28,D,D,D,C,E
Mature Cheddar,Cathedral City,cheeses,1741.0,0.1,21.7,1.77,25.4,0.0,0.0,23,E,23,0,D,38,D,D,D,D,E
La bûche SainteMaure PoitouCharentes,Soignon,cheeses,1208.0,1.0,16.0,1.5,20.0,0.0,0.0,20,E,20,0,D,31,D,D,D,D,E
Original Doux  crémeux,,cheeses,1059.0,0.0,0.0,0.0,10.0,0.0,0.0,-1,A,3,4,D,35,B,B,C,A,
El Mejor chef fromage 16p,,cheeses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,A,0,0,D,35,A,A,D,A,A
Original Philadelphia,Philadelphia,cheeses,946.0,4.3,14.0,0.7375,5.4,0.2,0.0,16,D,16,0,D,37,D,D,D,C,E
b,gastro mixte,cheeses,942.0,4.3,14.0,0.75,5.4,0.2,0.0,16,D,16,0,D,40,D,D,D,C,E
KiriKäse,Kiri,cheeses,1269.0,2.0,19.5,1.3,9.0,0.0,0.0,19,E,19,0,C,56,D,D,D,C,E
Kiri carré 36,Kiri,cheeses,950.0,2.0,13.0,1.6,9.0,0.0,0.0,20,E,20,0,D,35,D,D,D,C,E
Kiri Crème 12 portions,Kiri,cheeses,1269.0,2.0,19.5,1.3,9.0,0.0,0.0,19,E,19,0,C,49,D,D,D,C,E
Frommage fondu,REWE Beste Wahl,cheeses,1248.0,4.0,16.5,1.2,7.0,0.0,0.0,19,E,19,0,E,28,D,D,D,D,E
,Ladid,cheeses,888.4,7.6,11.5,3.25,7.4,0.0,0.0,29,E,29,0,E,28,D,D,D,D,
la vache qui rit,,cheeses,1590.0,3.01,20.5,3.31,13.3,0.0,0.0,30,E,30,0,D,35,D,D,D,D,
Philadelphia Original,"Mondelez,Philadelphia",cheeses,941.0,4.3,14.0,0.74,5.4,0.0,0.0,16,D,16,0,D,42,D,D,D,C,E
La vache qui rit,La vache qui rit,cheeses,970.0,6.5,12.0,1.7,11.0,0.0,0.0,21,E,21,0,D,41,D,D,D,D,E
Loriginal tartare ail  fines herbes,"Fromarsac, Savencia, Tartare",cheeses,1435.0,2.3,24.5,1.1,7.0,0.0,0.0,19,E,19,0,C,48,D,D,D,C,E
Queso para untar Philadelphia,Philadelphia,cheeses,1028.0,2.8,16.0,1.06,3.7,0.2,0.0,18,D,18,0,D,42,D,D,D,D,E
la hollandaise,la hollandaise,cheeses,1130.0,6.0,12.0,1.5,9.0,0.0,0.0,21,E,21,0,E,28,D,D,D,D,
الهاندس,La Hollandaise,cheeses,1130.0,6.0,15.0,0.0,10.0,0.0,0.0,14,D,14,0,E,28,C,C,D,C,E
كريميو,Cremio,cheeses,1038.0,0.0,17.0,4.25,8.0,0.0,0.0,33,E,33,0,D,35,D,D,D,C,E
9 Minis St Moret 178 MG,"Savencia,St Moret",cheeses,858.0,3.0,13.2,1.3,8.3,0.0,0.0,18,D,18,0,C,59,C,C,D,C,E
Leerdammer original 8 tranches 200g,Leerdammer,cheeses,1460.0,0.1,18.5,1.5,26.0,0.0,0.0,21,E,21,0,D,35,D,D,D,D,E
,Khayrat,cheeses,1052.0,0.0,0.0,0.0,10.0,0.0,0.0,-1,A,3,4,B,67,B,B,B,A,A
Mon ptit plaisir,Milbona,cheeses,833.0,3.3,11.7,1.0,8.2,0.5,0.0,17,D,17,0,D,40,D,D,D,C,E
Natural Cottage Cheese,Milbona,cheeses,406.0,2.8,3.0,0.52,11.5,0.0,0.0,2,B,6,4,D,39,C,C,C,B,B
Original Full Fat Soft Cheese,Emporium,cheeses,958.0,3.2,13.7,0.7375,5.6,0.3,0.0,15,D,15,0,C,49,C,C,D,C,E
Le berger From blanc Nat,,cheeses,1096.0,0.0,13.0,0.0,20.0,0.0,0.0,13,D,13,0,D,35,C,C,D,A,E
la vache qui rit 24,,cheeses,1060.0,3.01,13.9,5.72,14.5,0.0,0.0,33,E,33,0,D,35,D,D,D,C,E
Carré frais 0 pourcent ail et fines herbes,Elle & Vire,cheeses,352.0,2.8,0.0,0.0033,16.0,0.0,0.0,-5,A,1,6,C,50,B,B,B,A,A
Perly,Perly,cheeses,2152.0,0.0,15.2,1.6,10.0,0.0,0.0,24,E,24,0,D,35,D,D,E,D,E
babybel,Babybel,cheeses,1240.0,0.05,15.5,1.68,22.0,0.0,0.0,21,E,21,0,D,35,D,D,D,D,E
MUSCLY FROMAGE 24,"Jaouda, Copag",cheeses,1094.0,0.0,15.0,1.6,9.0,0.0,0.0,21,E,21,0,B,73,C,C,D,B,E
Or Blanc,Or Blanc,cheeses,946.0,5.9,12.0,4.25,9.5,0.35,0.0,33,E,33,0,E,28,D,D,D,C,E
Le goût primeur  Ligne  plaisir,"Savencia,St moret",cheeses,553.0,5.0,5.5,1.0,10.0,0.0,0.0,12,D,12,0,C,56,C,C,D,C,
Chavroux Pur Chèvre,Chavroux,cheeses,673.0,2.6,9.0,1.0,8.7,0.0,0.0,16,D,16,0,E,19,D,D,D,C,E
Paysan Breton  Le Fromage Fouetté Madame Loïk  Nature au Sel de Guérande  Sel réduit 25,"Le Fromage Fouetté Madame Loïk, Paysan breton",cheeses,1039.0,3.0,17.0,0.6,5.9,0.0,0.0,15,D,15,0,C,49,C,C,D,C,E
La bûche fondante,"Lactalis, Président",cheeses,1140.0,0.5,16.0,1.5,17.0,0.0,0.0,20,E,20,0,D,40,D,D,D,C,E
